Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities
"Polting Land At Dahachowk : Land For Sale In Dahachowk, Khahare, Kathmandu","dahachowk, Dahachowk, khahare, Kathmandu",Kathmandu,1050000,0,0,N/A,0,South,N/A,438,0-4-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,4 months ago,[]
"House For Rent : Business For Rent In Gongabu, Kathmandu","Gongabu, Gongabu, Kathmandu",Kathmandu,80000,13,0,4,0,East,N/A,160,4 Aana,13 Feet,13 Feet,NA,N/A Aana,4 months ago,[]
"Beautiful House On Rent : Office Space For Rent In Khusibu, Kathmandu","medical chowk, Khusibu, Kathmandu",Kathmandu,370000,17,17,4,0,North East,2076,348,6 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,"['Water Tank', 'Balcony']"
"Plotting Land For Sale At Gumti Chowk : Land For Sale In Budhanilkantha, Kathmandu","gumti chowk, Budhanilkantha, Kathmandu",Kathmandu,2600000,0,0,N/A,0,East,N/A,460,4 Aana,22 Feet / Blacktopped,22 Feet , Blacktopped,N/A Aana,4 months ago,[]
"Full Furnished House On Rent : House For Rent In Lazimpat, Kathmandu","uttar dokha, Lazimpat, Kathmandu",Kathmandu,150000,4,4,3,2,North East,N/A,516,7 Aana,13 Feet,13 Feet,NA,N/A Aana,4 months ago,"['Garage', 'Air Condition', 'Garden', 'Frontyard', 'Balcony', 'Modular Kitchen', 'Solar Water', 'Water Well', 'Water Tank']"
"House On SALE!! : House For Sale In Kapan, Kathmandu","Kapan height, Kapan, Kathmandu",Kathmandu,17000000,8,3,10,2,North,N/A,706,3.5 Aana,10 Feet / Soil Stabilized,10 Feet , Soil Stabilized,3 Aana,4 months ago,[]
"2.5 Storey New : House For Sale In Gothatar, Kathmandu","Buddhachwok, Gothatar, Kathmandu",Kathmandu,18500000,3,3,2.5,1,East,2075,10.6K,0-3-0-0 Aana,14 Feet / Gravelled,14 Feet , Gravelled,1026 Aana,4 months ago,"['Lawn', 'Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']"
"Land For Sale In Budhanilkantha, Kathmandu","deuba chowk, Budhanilkantha, Kathmandu",Kathmandu,3200000,0,0,N/A,0,East,N/A,421,7 Aana,13 Feet,13 Feet,NA,N/A Aana,4 months ago,[]
"Akasedharama Naya Ghar : House For Sale In Kapan, Kathmandu","Na, Kapan, Kathmandu",Kathmandu,17000000,4,5,3,1,West,2076,1.2K,3 Aana,16 Feet / Gravelled,16 Feet , Gravelled,N/A Aana,4 months ago,['Garage']
"12 Ropani Land Is On Sale. : Land For Sale In Nirmal Pokhari, Pokhara","BharatPokhari-33, Nirmal Pokhari, Pokhara",Pokhara,2500000,0,0,N/A,0,North,N/A,483,12 Ropani,13 Feet / Soil Stabilized,13 Feet , Soil Stabilized,12 Ropani,4 months ago,[]
"Budhanilkantha Mandikatar Height Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,32500000,8,6,3,1,South East,2076,862,4 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,"['Drainage', 'Water Supply', 'Solar Water', 'Store Room']"
"Budhanilkantha Family Bungalow : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,29800000,5,5,3,2,East,2076,641,4 Aana,15 Feet / Paved,15 Feet , Paved,N/A Aana,4 months ago,"['Balcony', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank', 'Water Well', 'Store Room']"
"30 Ropani Land For Sale. : Land For Sale In Nirmal Pokhari, Pokhara","Nirmal Pokhari-21, Nirmal Pokhari, Pokhara",Pokhara,2500000,0,0,N/A,0,South,N/A,504,30 Ropani,20 Feet / Blacktopped,20 Feet , Blacktopped,30 Ropani,4 months ago,[]
"Beautiful Semi Bungalow For Sale : House For Sale In Hattigauda, Kathmandu","Na, Hattigauda, Kathmandu",Kathmandu,33500000,5,5,3,1,North West,2076,837,5.5 ana Aana,14 Feet / Gravelled,14 Feet , Gravelled,N/A Aana,4 months ago,"['Garage', 'Balcony', 'Drainage', 'Solar Water', 'Water Tank', 'Water Well']"
"House For Sale At Bhangal Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Sundar Basti Bhangal, Budhanilkantha, Kathmandu",Kathmandu,29900000,7,6,3,2,South West,2019,472,5 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,2700 Sq. Feet,4 months ago,"['Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank', 'Store Room']"
"New Homes At Basundhara Chauki : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,49000000,6,6,3,2,South,2074,498,5.3 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,4 months ago,[]
"Brand New : House For Sale In Buddhanagar, Kathmandu","buddhanagar, Buddhanagar, Kathmandu",Kathmandu,29900000,5,3,2.5,1,South,2076,4.6K,0-3-0-0 Aana,10 Feet / Concrete,10 Feet , Concrete,N/A Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"Grandy Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,21000000,6,6,3,1,East,2074,550,3 Aana,13 Feet / Paved,13 Feet , Paved,N/A Aana,4 months ago,['Garage']
"Golfutar Height Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,100000000,6,6,3,5,East,2069,589,19 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,4 months ago,"['Garage', 'Balcony', 'Backyard', 'Frontyard', 'Garden', 'Fencing', 'Microwave', 'Modular Kitchen', 'Washing Machine', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank', 'Store Room', 'Parking', 'Security Staff', 'Kids Playground']"
"Ganeschok Home : House For Sale In Hattigauda, Kathmandu","Na, Hattigauda, Kathmandu",Kathmandu,45000000,5,5,3,1,North,N/A,179,6 ana Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,4 months ago,"['Drainage', 'Water Tank', 'Solar Water', 'Water Supply']"
"Beautiful Shaped Land Italitar Hattigauda : Land For Sale In Hattigauda, Kathmandu","Na, Hattigauda, Kathmandu",Kathmandu,3500000,0,0,N/A,0,East,N/A,378,19 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,[]
"Grandy Tokhama Naya Ghar : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,33500000,6,6,3,1,South East,2076,87,4 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,4 months ago,"['Balcony', 'Drainage', 'Solar Water', 'Water Tank']"
"Hattigauda Brand New Semi Bungalow : House For Sale In Hattigauda, Kathmandu","Na, Hattigauda, Kathmandu",Kathmandu,28500000,5,5,3,1,North,2076,143,4 Aana,15 Feet / Gravelled,15 Feet , Gravelled,N/A Aana,4 months ago,"['Garage', 'Solar Water', 'Drainage', 'Water Tank', 'Water Well']"
"Basundhara Indreni Colony Home : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,50000000,5,5,3,3,East,2071,551,11 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Frontyard', 'Garden', 'Garage', 'Store Room']"
"Nayabazar Home : House For Sale In Naya Bazar, Kathmandu","Na, Naya Bazar, Kathmandu",Kathmandu,35000000,5,5,3,2,East,2069,310,5 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,"['Modular Kitchen', 'Drainage', 'Solar Water', 'Water Supply', 'Water Tank', 'Water Well']"
"Pasikot Bungalow : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,49000000,5,5,3,2,West,2076,490,8.5 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,4 months ago,"['Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Garden', 'Modular Kitchen', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Internet', 'Store Room', 'Parking']"
"7 Ana Bungalow Urgent For Sale : House For Sale In Thulo Bharyang, Kathmandu","Na, Thulo Bharyang, Kathmandu",Kathmandu,39000000,5,5,3,3,East,2070,151,7 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Garage', 'Frontyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Solar Water', 'Water Well', 'Water Tank', 'Store Room']"
"Dhumbarahi 32 Ana Land : Land For Sale In Dhumbarahi, Kathmandu","Na, Dhumbarahi, Kathmandu",Kathmandu,6500000,0,0,N/A,0,East,N/A,146,32 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,[]
"Grandy Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,29000000,6,6,3,1,East,2074,316,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,4 months ago,"['Water Supply', 'Solar Water', 'Drainage', 'Water Tank', 'Water Well', 'Store Room']"
"Hattigaudama Brand New Family Bungalows : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,44500000,5,5,3,1,South,2076,410,5 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Balcony', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank', 'Store Room', 'Parking']"
"Maharajganj Lands : Land For Sale In Maharajgunj, Kathmandu","Na, Maharajgunj, Kathmandu",Kathmandu,5500000,0,0,N/A,0,South,N/A,487,5 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,[]
"Golfutar 8 Ana For Sale : Land For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,3700000,0,0,N/A,0,East,N/A,359,8 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,[]
"Basundhara Beautiful Bungalow : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,29800000,5,5,3,1,East,N/A,581,4.1 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Balcony', 'Garage', 'Parking', 'Store Room', 'Solar Water', 'Water Supply', 'Water Well']"
"Baluwatar 16 Ana Land : Land For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,5700000,0,0,N/A,0,East,N/A,371,16 Aana,12 Feet / Blacktopped,12 Feet , Blacktopped,N/A Aana,4 months ago,[]
"Jorpati Daachi Plotting Land : Land For Sale In Jorpati, Kathmandu","Na, Jorpati, Kathmandu",Kathmandu,1250000,0,0,N/A,0,East,N/A,179,5/5/6 Aana,20 Feet / Soil Stabilized,20 Feet , Soil Stabilized,N/A Aana,4 months ago,[]
"3.5 Ana Land On Sale In Kalanki : Land For Sale In Chandragiri, Kathmandu","Bishnudevi , Kalanki, Chandragiri, Kathmandu",Kathmandu,2000000,0,0,N/A,0,South East,N/A,509,0-3-1-3 Aana,12 Feet / Gravelled,12 Feet , Gravelled,N/A Aana,4 months ago,[]
"Sale-Imperial Apartment Sanepa : Apartment For Sale In Sanepa, Lalitpur","Sanepa, Sanepa, Lalitpur",Lalitpur,45000000,3,2,13,1,South,2015,1.7K,1800 Sq. Feet,20 Feet / Blacktopped,20 Feet , Blacktopped,1800 Sq. Feet,4 months ago,"['Jacuzzi', 'Lawn', 'Garage', 'Air Condition', 'Balcony', 'Microwave', 'Gym', 'Garden', 'Frontyard', 'Deck', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Cafeteria', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground', 'Lift', 'Maintenance']"
"५ रोपनी, १८ लाख प्रति आना, चोभार/ : Land For Sale In Machhegaun, Kirtipur","Chobhar, Machhegaun, Kirtipur",Kirtipur,1800000,0,0,N/A,0,South,N/A,391,5-0-0-0 Ropani,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,[]
"टुक्रा जग्गा चोभार हाइट मा बिक्रीमा : Land For Sale In Machhegaun, Kirtipur","Chobhar Height, Machhegaun, Kirtipur",Kirtipur,2000000,0,0,N/A,0,East,N/A,389,"4,5,6,7,8 aana Aana",13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,4 months ago,[]
"Land For Sale In Bardibas, Mahottari","Sindhuli, Ratmata, Bardibas, Mahottari",Mahottari,220000,0,0,0,0,East,N/A,706,10935 Sq. Feet,6 Meter / Soil Stabilized,6 Meter , Soil Stabilized,10935 Sq. Feet,4 months ago,[]
"Attractive Land For Rent - Suitable For Factory : Land For Rent In Bhadrapur, Jhapa","Sangam Marga, Bhadrapur, Jhapa",Jhapa,200000,0,0,N/A,0,North West,N/A,376,20 Kattha,20 Feet / Gravelled,20 Feet , Gravelled,N/A Aana,4 months ago,[]
"Land At Simara Bazar : Land For Sale In Nijghadh, Bara","Simara Bazar, Nijghadh, Bara",Bara,280000,0,0,N/A,0,East,N/A,369,0-3-0-0 Kattha,0 Feet / Soil Stabilized,0 Feet , Soil Stabilized,N/A Aana,4 months ago,[]
"Flat For Rent In Imadol, Lalitpur","OCHHU height, Imadol, Lalitpur",Lalitpur,15000,2,1,3,0,South East,2075,657,700 Sq. Feet,14 Feet / Gravelled,14 Feet , Gravelled,700 Sq. Feet,4 months ago,"['Garden', 'Modular Kitchen', 'Water Supply', 'Water Tank']"
"Brand New : House For Sale In Bhimsengola, Baneshwor, Kathmandu","Bhimsengola, Bhimsengola, Baneshwor, Kathmandu",Kathmandu,38700000,6,5,3,3,East,2076,3.8K,0-4-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"Brand New House On Sale At Bhimsengola : House For Sale In Old Baneshwor, Kathmandu","Bhimsengola, Old Baneshwor, Kathmandu",Kathmandu,39000000,6,5,3,3,East,2019,859,0-4-0-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,2300 Sq. Feet,4 months ago,[]
"Dhapakhel : Land For Sale In Dhapakhel, Lalitpur","Dhapakhel, Dhapakhel, Lalitpur",Lalitpur,1200000,0,0,N/A,0,South East,N/A,2K,3.3 Aana,20 Feet / Soil Stabilized,20 Feet , Soil Stabilized,N/A Aana,4 months ago,[]
"House For Sale In Syuchatar, Kathmandu","Green Village Society, Syuchatar, Kathmandu",Kathmandu,15000000,4,2,1.5,1,South,2072,11.8K,0-4-3-0 Aana,18 Feet / Concrete,18 Feet , Concrete,151 Sq. Feet,4 months ago,"['Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Security Staff', 'Store Room']"
"Commercial Building : House For Sale In Thulo Bharyang, Kathmandu","Nearby ekdhara chwok, Thulo Bharyang, Kathmandu",Kathmandu,155000000,9,6,5.5,31,North,2075,5.1K,0-14-2-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,24000 Aana,4 months ago,"['Balcony', 'Fencing', 'Gym', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'CCTV', 'Electricity Backup', 'Intercom', 'Internet', 'Maintenance', 'Parking', 'Security Staff', 'Store Room']"
"2 Storey Beautiful House For Sale At Tinkune : House For Sale In Tinkune, Kathmandu","Subidhanagar,Tinkune, Tinkune, Kathmandu",Kathmandu,32500000,4,3,2,4,East,N/A,393,5.75 Aana,11 Feet / Blacktopped,11 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Backyard', 'Frontyard', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
"Luxurious Bungalow : House For Sale In Dhobighat, Lalitpur","Dhobighat, Dhobighat, Lalitpur",Lalitpur,90000000,4,2,2.5,3,South,N/A,11.3K,0-20-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'CCTV', 'Electricity Backup', 'Internet', 'Kids Playground', 'Maintenance', 'Parking', 'Store Room']"
"2BHK FLAT ON RENT AT BALAJU BORATAR (NEAR BANASTHALI KHARIBOT) : House For Rent In Balaju, Kathmandu","Balaju, Kathmandu, Balaju, Kathmandu",Kathmandu,15000,2,1,N/A,1,North,2019,868,3 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2.75 Aana,4 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Water Well', 'Water Tank', 'Internet', 'Kids Playground', 'Parking']"
"Hattiban Height : House For Rent In Hattiban, Lalitpur","Setipakha, Hattiban, Lalitpur",Lalitpur,150000,5,3,3,1,East,2012,572,10 Aana,17 Meter / Blacktopped,17 Meter , Blacktopped,4 Aana,4 months ago,"['Garage', 'Balcony', 'Garden', 'TV Cable', 'Water Supply', 'Water Well', 'Parking']"
"Land In Chabahil For Sale : Land For Sale In Chabahil, Kathmandu","Ganeshthan Temple, Chabahil, Kathmandu",Kathmandu,4500000,0,0,N/A,0,East,N/A,649,0-6-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,[]
"New House On Sale In Imadol Height : House For Sale In Imadol, Lalitpur","Ochu Height, Imadol, Lalitpur",Lalitpur,19000000,0,4,3,1,South East,2074,705,3.1.2 Aana,13 Feet / Gravelled,13 Feet , Gravelled,3 Aana,4 months ago,"['Backyard', 'Frontyard', 'Balcony', 'TV Cable', 'Solar Water', 'Drainage', 'Water Well', 'Water Tank']"
"2.5 Storey : House For Sale In Sitapaila, Kathmandu","near Aadeshwor Planning, Sitapaila, Kathmandu",Kathmandu,21000000,6,5,2.5,1,East,N/A,8K,0-4-0-0 Aana,14 Feet / Concrete,14 Feet , Concrete,2200 Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"House For Sale In Imadol, Lalitpur","Opposite of green hill city, Imadol, Lalitpur",Lalitpur,21500000,5,3,2.5,1,South,2076,1.2K,0-3-1-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Sq. Feet,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"House For Sale In Imadol, Lalitpur","Opposite of Green Hill city, Imadol, Lalitpur",Lalitpur,22500000,6,3,2.5,1,South,2076,903,0-3-2-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Sq. Feet,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Supply', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"Royal Durbar Style Classical Bungalow At Golfutar, Budhanilkantha : House For Sale In Golfutar, Kathmandu","Golfutar, Budhanilkantha, Golfutar, Kathmandu",Kathmandu,35000000,4,4,2,2,East,N/A,2.4K,0-7-0-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Gym', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Electricity Backup', 'Water Supply', 'Internet', 'Kids Playground']"
"14 Anna 5 Bhk Bungalow For Sale Mandikatar Height Near Hams Hospital : House For Sale In Mandikatar, Kathmandu","Mandikatar Height Near Hams Hospital, Mandikatar, Kathmandu",Kathmandu,60000000,5,4,2,2,East,N/A,756,0-14-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"Attractive 11 Anna House For Sale At Dhumbarahi, Inside Ring Road. : House For Sale In Dhumbarahi, Kathmandu","Dhumbarahi, Inside Ring Road, Dhumbarahi, Kathmandu",Kathmandu,75000000,0,4,2,0,East,N/A,357,0-11-0-0 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'Electricity Backup', 'Water Supply', 'Internet']"
"House For Sale In Basundhara, Kathmandu","Basundhara, Shree Tol, Basundhara, Kathmandu",Kathmandu,36500000,4,3,2,1,East,2076,359,0-5-0-0 Aana,15 Feet / Gravelled,15 Feet , Gravelled,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Electricity Backup', 'Water Supply', 'Internet']"
"5 Anna Fully Furnished Bungalow For Sale At Hattigauda, Very Near Highway. : House For Sale In Hattigauda, Kathmandu","Hattigauda, Near Highway, Hattigauda, Kathmandu",Kathmandu,37500000,4,3,2,1,South East,N/A,1.6K,0-5-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Internet', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup']"
"8, 9 And 10 Anna Plot Of Land For Sale At Budhanilkantha Inside Siddhartha Colony. : Land For Sale In Budhanilkantha, Kathmandu","Budhanilkantha Inside Siddhartha Colony, Budhanilkantha, Kathmandu",Kathmandu,3800000,0,0,N/A,0,East,N/A,255,"0-8,9,10-0-0 Aana",16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,[]
"16 Anna Land For Sale At Baluwatar Near Alice Restaurant. : Land For Sale In Baluwatar, Kathmandu","Baluwatar Near Alice Restaurant, Baluwatar, Kathmandu",Kathmandu,5700000,0,0,N/A,0,East,N/A,261,1-0-0-0 Ropani,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,[]
"3.1 Anna Brand New House For Sale At Greenland Tokha Near Grande : House For Sale In Tokha, Kathmandu","Greenland Tokha Near Grande, Tokha, Kathmandu",Kathmandu,25000000,4,3,2,1,East,2076,221,0-3.1-0-0 Aana,12 Feet / Gravelled,12 Feet , Gravelled,N/A Aana,4 months ago,"['Garage', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Washing Machine', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"2 Modern Bungalows For Sale At Greenland. : House For Sale In Tokha, Kathmandu","Greenland, Tokha, Kathmandu",Kathmandu,38500000,0,4,2,3,East,2076,306,0-6.5/8-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"East Facing 6 Anna Land At Rudreshwor, Budhanilkantha, (Road - 20 Ft.) : Land For Sale In Budhanilkantha, Kathmandu","Rudreshwor, Budhanilkantha, (road - 20 Ft.), Budhanilkantha, Kathmandu",Kathmandu,3500000,0,0,N/A,0,South East,N/A,135,0-6-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,[]
"Brand New House For Sale At Bhangal, Budhanilkantha In 20 Feet Road. : House For Sale In Budhanilkantha, Kathmandu","Bhangal sangyukta buspark , budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,24000000,4,3,2,1,East,2076,198,0-4-0-0 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"4.75 Brand New Attractive House For Sale At Basundhara : House For Sale In Basundhara, Kathmandu","Basundhara, Shree Tol, Basundhara, Kathmandu",Kathmandu,35500000,4,3,3,1,East,2076,151,0-4.75-0-0 Aana,15 Feet / Gravelled,15 Feet , Gravelled,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"CLassical Durbar Style 1 Ropani Bungalow For Sale At Chapali : House For Sale In Chapali, Kathmandu","Chapali, Chapali, Kathmandu",Kathmandu,110000000,4,4,N/A,0,East,N/A,436,1-0-0-0 Ropani,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Gym', 'Washing Machine', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Cafeteria', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
